Method,Year,Season,Planting_Date,Irrig_Crit_Source,Irrig_Crit,ETref,ETc,ETcadj,E,T,DP,K,Rain,Irrig,Gross_Irrig,Num_Irrig,Mean_Irrig,Veff_end
DSR,1990,135,1990-05-15,madDs,0.47,778.398,820.186,814.015,433.325,380.691,573.945,5.121,477.48,966.414,1256.338,36,26.845,56.717
DSR,1990,135,1990-05-15,madDs,0.94,778.398,750.101,742.802,363.24,379.562,374.379,2.971,477.48,704.058,915.276,19,37.056,65.14
DSR,1990,135,1990-05-15,madDs,0.75,778.398,776.326,769.67,389.465,380.206,569.776,4.983,477.48,929.553,1208.419,27,34.428,68.37
DSR,1990,135,1990-05-15,mad,0.06,778.398,775.013,740.496,388.152,352.344,123.606,0.922,477.48,420.2,546.261,26,16.162,34.362
DSR,1990,135,1990-06-01,madDs,0.75,698.701,712.472,705.83,347.211,358.619,540.562,4.887,484.617,826.239,1074.11,25,33.05,65.491
DSR,1990,135,1990-06-01,madDs,0.47,698.701,713.996,708.804,348.735,360.068,549.949,4.725,484.617,844.699,1098.108,32,26.397,71.59
DSR,1990,135,1990-06-01,madDs,0.94,698.701,677.057,669.453,311.797,357.657,503.203,4.624,484.617,736.153,956.999,19,38.745,49.14
DSR,1990,135,1990-06-15,madDs,0.47,625.952,647.091,644.343,292.339,352.005,559.445,5.136,487.76,776.117,1008.953,30,25.871,60.866
DSR,1990,135,1990-06-15,madDs,0.75,625.952,638.777,635.495,284.024,351.47,474.119,4.357,487.76,676.174,879.027,20,33.809,55.098
DSR,1990,135,1990-06-15,madDs,0.94,625.952,629.567,624.989,274.815,350.174,453.809,4.198,487.76,645.374,838.987,16,40.336,55.114
DSR,1990,135,1990-06-01,mad,0.06,698.701,691.085,660.155,325.825,334.33,170.484,1.364,484.617,386.798,502.838,34,11.376,41.803
DSR,1990,135,1990-07-01,madDs,0.47,587.053,630.316,629.194,275.134,354.061,500.78,4.493,427.11,766.831,996.88,30,25.561,63.967
DSR,1990,135,1990-06-15,mad,0.06,625.952,616.561,592.464,261.809,330.656,174.543,1.486,487.76,313.087,407.013,34,9.208,34.617
